"","SP.DYN.LE00.IN","EG.ELC.ACCS.ZS","NY.ADJ.NNTY.KD.ZG","NY.ADJ.NNTY.PC.KD.ZG","SE.PRM.UNER","SP.DYN.IMRT.IN","SE.PRM.CMPT.ZS","SP.POP.GROW","EN.POP.DNST","SP.POP.TOTL","SH.XPD.CHEX.PC.CD","SH.XPD.CHEX.GD.ZS","SL.UEM.TOTL.NE.ZS","NY.GDP.MKTP.KD.ZG","NY.GDP.PCAP.CD","SP.DYN.CBRT.IN","SH.HIV.INCD","SH.H2O.SMDW.ZS"
"SP.DYN.LE00.IN",1,0.791084659034444,-0.137935801110594,-0.046298241304379,-0.266419790922241,-0.900069552912642,0.37398395554815,-0.526303681096317,0.164139172636877,-0.0115593827687313,0.534362110065184,0.317999548072443,-0.124968212440021,-0.177752347089129,0.525323997180929,-0.865916695957675,-0.272173169119702,0.535742272219121
"EG.ELC.ACCS.ZS",0.791084659034444,1,-0.1099081111337,-0.00758450262457247,-0.346457226617356,-0.808234758992458,0.452445961681665,-0.584540141603289,0.0949244201910147,0.0373762918139966,0.302621391098305,0.213607593955072,-0.0521139219766641,-0.110034377474511,0.325900205427437,-0.800538908495623,-0.22528641360943,0.394988040882693
"NY.ADJ.NNTY.KD.ZG",-0.137935801110594,-0.1099081111337,1,0.98278047820433,0.0793080226928387,0.15425953808572,-0.128854711013689,0.108672988775363,-0.00965959091422164,0.00876941214581941,-0.110880303242264,-0.0690040060698512,-0.0479320697423865,0.566213936361093,-0.0882383173920566,0.178038816186707,-0.0374628336139667,-0.150065345499542
"NY.ADJ.NNTY.PC.KD.ZG",-0.046298241304379,-0.00758450262457247,0.98278047820433,1,0.0202198334818595,0.0548199719571466,-0.0643325459066369,-0.0510411064100799,-0.00401613835569986,0.0150413098137985,-0.07212309614423,-0.00406989303374535,-0.0276321146503479,0.544077251963421,-0.0566450788685526,0.0481395631418254,-0.0693181694039378,-0.0940203191171058
"SE.PRM.UNER",-0.266419790922241,-0.346457226617356,0.0793080226928387,0.0202198334818595,1,0.227335767018325,-0.436376995994162,0.279041681849467,-0.0487201464857431,0.0144020576409981,-0.0973794294586668,-0.0797938076484566,0.0724427668354672,0.0945066384334874,-0.135397200117939,0.34164844215715,0.374108660304761,-0.0681732418167092
"SP.DYN.IMRT.IN",-0.900069552912642,-0.808234758992458,0.15425953808572,0.0548199719571466,0.227335767018325,1,-0.374725750940244,0.577801474452564,-0.105386872288477,0.00693295766484148,-0.449569975938653,-0.253113493957505,0.0886940284958727,0.168260886131317,-0.40959666698733,0.847423478192221,0.21441577169403,-0.492949982944451
"SE.PRM.CMPT.ZS",0.37398395554815,0.452445961681665,-0.128854711013689,-0.0643325459066369,-0.436376995994162,-0.374725750940244,1,-0.322363967378165,0.091395395204101,-0.00370487481182843,0.192386668449091,0.0518649123659668,0.0344413755074954,-0.161854015907252,0.190040102472356,-0.42477304442543,-0.152594559909988,0.0985166339869973
"SP.POP.GROW",-0.526303681096317,-0.584540141603289,0.108672988775363,-0.0510411064100799,0.279041681849467,0.577801474452564,-0.322363967378165,1,-0.0143879083942424,-0.0296058883070334,-0.203727212876308,-0.291542720119369,-0.0540947833075076,0.191213297272034,-0.225921429537713,0.760022425187046,0.178017606645385,-0.316690731701114
"EN.POP.DNST",0.164139172636877,0.0949244201910147,-0.00965959091422164,-0.00401613835569986,-0.0487201464857431,-0.105386872288477,0.091395395204101,-0.0143879083942424,1,-0.0275401328908149,0.0417207062202269,-0.100633299595465,-0.104525483043086,-0.0468671589923496,0.454360054618824,-0.12071871344751,-0.04057041256877,0.123698209022635
"SP.POP.TOTL",-0.0115593827687313,0.0373762918139966,0.00876941214581941,0.0150413098137985,0.0144020576409981,0.00693295766484148,-0.00370487481182843,-0.0296058883070334,-0.0275401328908149,1,0.0110208573022558,-0.0735134827262504,-0.0523768461611234,0.0733919272171254,-0.0622700967967901,-0.0358395185240489,0.0711761600079899,-0.0110768362593171
"SH.XPD.CHEX.PC.CD",0.534362110065184,0.302621391098305,-0.110880303242264,-0.07212309614423,-0.0973794294586668,-0.449569975938653,0.192386668449091,-0.203727212876308,0.0417207062202269,0.0110208573022558,1,0.483640965650297,-0.151320791386469,-0.121301934740423,0.590267249044179,-0.460421764740938,-0.063326483219456,0.354071599171115
"SH.XPD.CHEX.GD.ZS",0.317999548072443,0.213607593955072,-0.0690040060698512,-0.00406989303374535,-0.0797938076484566,-0.253113493957505,0.0518649123659668,-0.291542720119369,-0.100633299595465,-0.0735134827262504,0.483640965650297,1,0.115577469778637,-0.121671452888729,0.136809238112739,-0.327854107150475,-0.0101964851347999,0.166607594312122
"SL.UEM.TOTL.NE.ZS",-0.124968212440021,-0.0521139219766641,-0.0479320697423865,-0.0276321146503479,0.0724427668354672,0.0886940284958727,0.0344413755074954,-0.0540947833075076,-0.104525483043086,-0.0523768461611234,-0.151320791386469,0.115577469778637,1,-0.0535407056381532,-0.187636997244878,0.0713340274415893,0.299125729030419,-0.0688155781906779
"NY.GDP.MKTP.KD.ZG",-0.177752347089129,-0.110034377474511,0.566213936361093,0.544077251963421,0.0945066384334874,0.168260886131317,-0.161854015907252,0.191213297272034,-0.0468671589923496,0.0733919272171254,-0.121301934740423,-0.121671452888729,-0.0535407056381532,1,-0.122616446108359,0.204348775850917,-0.0392531301903365,-0.178477237058225
"NY.GDP.PCAP.CD",0.525323997180929,0.325900205427437,-0.0882383173920566,-0.0566450788685526,-0.135397200117939,-0.40959666698733,0.190040102472356,-0.225921429537713,0.454360054618824,-0.0622700967967901,0.590267249044179,0.136809238112739,-0.187636997244878,-0.122616446108359,1,-0.469444557136752,-0.106396880731926,0.380323936426763
"SP.DYN.CBRT.IN",-0.865916695957675,-0.800538908495623,0.178038816186707,0.0481395631418254,0.34164844215715,0.847423478192221,-0.42477304442543,0.760022425187046,-0.12071871344751,-0.0358395185240489,-0.460421764740938,-0.327854107150475,0.0713340274415893,0.204348775850917,-0.469444557136752,1,0.217888398448425,-0.502117544303895
"SH.HIV.INCD",-0.272173169119702,-0.22528641360943,-0.0374628336139667,-0.0693181694039378,0.374108660304761,0.21441577169403,-0.152594559909988,0.178017606645385,-0.04057041256877,0.0711761600079899,-0.063326483219456,-0.0101964851347999,0.299125729030419,-0.0392531301903365,-0.106396880731926,0.217888398448425,1,-0.079527767828813
"SH.H2O.SMDW.ZS",0.535742272219121,0.394988040882693,-0.150065345499542,-0.0940203191171058,-0.0681732418167092,-0.492949982944451,0.0985166339869973,-0.316690731701114,0.123698209022635,-0.0110768362593171,0.354071599171115,0.166607594312122,-0.0688155781906779,-0.178477237058225,0.380323936426763,-0.502117544303895,-0.079527767828813,1
